,rates,mfcc,filter_bank,fraud,mfcc_mean,fbank_mean
0,22050,"[[  8.1843911   -6.11834023  -5.90677959 ... -11.09750463  -0.1763854
    5.15571244]
 [  9.3578487    0.96339872  -3.86519643 ... -17.71123769  -1.89264137
    3.16462532]
 [ 12.34228147  17.70612343  -1.1404551  ... -11.99111114   4.18442335
    7.07916403]
 ...
 [ 10.15937028 -26.19812934  -5.21693709 ...  -9.10417269 -12.41836114
   -0.2809521 ]
 [ 10.22199559 -25.13985388  -7.43926264 ...  -6.79614543  -8.60093272
   -2.15379829]
 [  9.95772315 -25.04081937  -7.0714741  ...  -6.36698456  -9.66355026
    0.55100629]]","[[ 3.15620871  4.62417776  4.02864661 ...  4.66223674  4.69303722
   5.02376129]
 [ 5.18780318  6.90579413  6.79155066 ...  5.28832471  5.09130671
   5.36315141]
 [ 9.66236694 10.26662552 10.02230128 ...  5.90034008  6.03894193
   6.42420364]
 ...
 [ 0.29216093  2.80489568  2.86761107 ...  7.02212306  8.1796373
   8.2901296 ]
 [ 0.3578605   2.94367759  3.02390115 ...  6.89559631  8.00863738
   8.27086563]
 [ 0.72843945  2.63564134  2.8014719  ...  6.59808485  7.56084367
   7.97911646]]",1,-3.109059419547599,12.515434834890108
1,22050,"[[  9.0909882   -5.71722028  -8.67816002 ...  -5.6699106    0.94857874
   -0.68000833]
 [ 13.34183295  13.32074865 -20.51569259 ... -13.3843717   -6.48084404
   -7.04741755]
 [ 14.80202803  14.61907211 -20.75339741 ... -15.57750579  -2.39986733
   -2.98557377]
 ...
 [  9.75611621 -16.72036744  -3.72136027 ...  -6.52851591  -6.77981383
    3.08280463]
 [  9.63763873 -17.35873433  -3.13502035 ... -10.05920048  -8.21727858
    1.83368732]
 [  9.20384522 -17.72042441  -3.93958974 ...  -7.53172991 -11.18127032
    3.55142733]]","[[ 4.1407119   4.65470126  4.03434224 ...  5.77596967  5.28580154
   5.31763354]
 [ 6.81923537  8.97549736  9.434863   ...  7.00480719  6.27784089
   6.26480026]
 [ 8.95807457 10.39350425 10.95100586 ...  7.8741326   7.51520026
   7.8005091 ]
 ...
 [ 2.75093551  4.14746299  3.984413   ...  6.1750544   7.56676753
   7.92898913]
 [ 2.23349638  4.14460662  3.93649857 ...  6.17824583  7.28174478
   7.66129039]
 [ 1.9247258   3.50789005  3.56693751 ...  5.92412633  6.60399263
   7.07574529]]",1,-3.191000408737584,12.79715729217713
2,22050,"[[  8.52916314  -5.26756699  -6.16107378 ... -11.09742399   2.04507733
    3.23987332]
 [  9.85199992   3.04536118  -3.68446649 ... -23.07379729  -2.62675123
    3.46795686]
 [ 10.97542688   8.61414847  -0.40354459 ... -21.77500025   1.54277712
    9.18240181]
 ...
 [  9.26850571 -23.22019746  -4.8546931  ...  -0.95047141 -12.06703751
    3.24080865]
 [  9.24630303 -24.04730472  -6.01167703 ...  -4.39632517 -10.27060876
   -1.22286034]
 [  8.78150585 -23.25938871  -4.62938223 ...  -6.15923251  -7.4593064
   -0.2442409 ]]","[[3.6246524  5.11574413 4.51233293 ... 4.94515783 4.92566685 5.19773297]
 [5.08181887 7.49090272 7.6442008  ... 5.36714847 5.36761333 5.4812971 ]
 [8.12733222 8.94488403 9.02003929 ... 5.81792514 6.0396783  6.27992034]
 ...
 [0.87280041 2.12202766 2.36177393 ... 6.11416949 7.21977195 7.62857179]
 [0.08627623 1.97155022 2.27606097 ... 6.16390077 7.19695202 7.4952958 ]
 [0.10258835 1.63952996 1.89670725 ... 5.86870728 6.64702098 7.01636578]]",1,-2.899507528212086,12.469278580252592
3,22050,"[[  7.87982314 -16.3126646   -9.22205005 ... -18.29151461   4.79806161
   -0.09683063]
 [  9.34909286 -14.39599834 -16.81211263 ... -10.99432537   7.63319807
   -2.03536366]
 [ 10.63025056 -17.16637764 -15.97194121 ... -19.91549739  15.21763636
    2.49151514]
 ...
 [  9.72375873 -14.46680581  -6.77813598 ...  -8.13763157 -13.13278521
   -1.36116513]
 [  9.63719231 -12.66635545  -5.13955479 ...  -2.17566076  -9.49891851
   -0.88422561]
 [  9.42744935 -13.54888424  -5.31269877 ...  -3.98667003 -11.40074039
   -0.29049466]]","[[0.25096609 2.58834384 2.20888277 ... 4.90348469 4.36336713 4.42894325]
 [2.37602837 3.44163802 2.92682948 ... 5.62557766 4.75668986 4.79267785]
 [2.47661597 4.01795147 3.84854267 ... 6.40824959 5.52940389 5.58698225]
 ...
 [1.49350225 5.0377157  4.47583706 ... 6.38564486 7.16858542 7.60732914]
 [2.64441767 5.23401168 4.29318202 ... 6.36026207 6.94017177 7.44365272]
 [2.31663692 4.83611854 4.2021979  ... 6.02072965 6.85629966 7.33208119]]",1,-4.075228085929233,11.969820299303715
4,22050,"[[  8.85892402  -5.24029361  -8.08389861 ...  -6.645223    -0.65253352
    1.52482628]
 [ 12.95680351  12.22801832 -19.51730991 ... -14.62714465  -6.67272521
   -5.1514466 ]
 [ 14.47515712  13.72114058 -20.41725904 ... -14.03378971  -3.45075206
   -2.70862446]
 ...
 [ 10.66738836 -16.92116292  -5.42906765 ...  -7.37191195 -12.31158245
    2.37401735]
 [ 10.47531084 -16.50243276  -2.3047371  ...  -4.11384957  -8.90624988
    4.66266087]
 [  9.9206056  -16.49723683  -3.93024064 ...  -5.42675163 -11.43066211
    2.14061417]]","[[ 4.05990415  4.58573917  3.97214872 ...  5.58108405  5.25080175
   5.37145854]
 [ 6.69454177  8.79146824  9.21472617 ...  6.83347655  6.21031968
   6.21801663]
 [ 8.91883967 10.20186981 10.79425032 ...  7.64820306  7.38348729
   7.80649188]
 ...
 [ 2.46114777  5.13697439  5.26246185 ...  7.20064585  8.02717794
   8.48885674]
 [ 3.66969861  4.91614723  4.98227486 ...  7.13978389  8.19039642
   8.58637028]
 [ 2.28609366  4.38840319  4.56329438 ...  6.34195527  7.63871883
   8.09080408]]",1,-2.555312162422462,13.425695143494698
5,22050,"[[  7.51037302 -16.71082624  -7.3152003  ... -15.42751223  -0.19535106
    1.25550867]
 [  8.79261104 -16.54037124 -13.64807833 ... -23.94881671   4.16116385
    0.84881441]
 [  9.65795556 -16.25140139 -10.74843782 ... -19.01394697  13.87410676
    9.65280041]
 ...
 [ 10.04527251 -11.60221754   1.49727353 ...  -3.48218328  -8.53147259
    2.20526741]
 [ 10.08275866 -12.57157742   1.58709353 ...  -3.47102933  -9.8342022
    2.59936072]
 [  9.70674189 -12.71145558   2.56591322 ...  -3.80415575  -6.93141064
    4.57796214]]","[[0.15568551 2.27625577 1.86353967 ... 4.64502063 4.42121627 4.37176154]
 [0.11075849 3.11342034 3.02876457 ... 5.34692164 4.7151253  4.70060145]
 [3.43918846 3.59872335 3.46321759 ... 5.97070353 5.32478622 5.5664086 ]
 ...
 [4.18833138 5.45139683 5.59809985 ... 6.77042392 7.98593245 8.16594445]
 [3.84599264 5.44335026 5.45617275 ... 6.79623412 8.01265018 8.19993903]
 [3.6962486  4.87476515 4.95978378 ... 6.48402817 7.71416885 7.72554503]]",1,-2.9710973862425405,12.360796679411049
6,22050,"[[ 10.83776859  -3.47665574 -16.50585713 ... -11.42297775  -0.33336058
   -5.64547697]
 [ 11.87865503  -1.29254474 -18.2857444  ...  -4.65132386   2.07338206
   -3.03271636]
 [ 14.16118859   7.77923089 -17.86165911 ... -14.57935082   1.08613651
  -11.18710757]
 ...
 [  9.9859893   -5.63406436  -8.34864816 ...  -2.02824332 -10.29546768
    0.07204333]
 [  9.58451491  -6.98274995  -5.78112631 ...  -0.6545107  -11.22054367
    2.57397574]
 [  8.89155244  -8.98694145  -3.99309811 ...   2.84430952 -19.23303274
    3.39874362]]","[[ 4.08844057  6.12085445  6.03538716 ...  6.88644007  6.79008005
   6.88260571]
 [ 6.45166191  6.85109844  7.04762404 ...  7.37098741  7.46662625
   7.36160561]
 [ 8.13526767 10.33281393 10.87538192 ...  8.20408685  8.51807434
   8.65622425]
 ...
 [ 4.27116872  5.91694756  6.40950647 ...  5.40749069  6.49593323
   6.77809886]
 [ 4.19700438  5.28876638  5.92169744 ...  5.06296047  6.74384512
   6.94078333]
 [ 3.12788848  4.46949292  5.03055819 ...  4.35725139  6.40738162
   6.55835161]]",1,-2.747687048145617,12.046176056108377
7,22050,"[[  8.17373579 -10.77861012  -2.80694753 ... -11.18173289  -1.51062317
   -5.41905987]
 [ 10.27179719  -3.73849149 -10.16127428 ... -11.08505496   1.51809549
    2.29399116]
 [ 12.30598051   0.65429207  -5.95864497 ... -15.89910805  -2.13432192
    2.7015949 ]
 ...
 [  9.27146206 -12.45355372   0.57234008 ...  -9.49495863 -10.9159056
    0.7275269 ]
 [  9.28574158 -12.35736135   1.17435608 ...  -7.68550434 -10.07599398
    1.74929787]
 [  9.02867447 -12.60760459   0.29211421 ...  -6.14709012 -11.05270103
    0.63415678]]","[[2.35692402 4.39515093 3.81338099 ... 5.26751585 5.32086681 5.37853397]
 [4.35884227 6.01420569 6.29138756 ... 5.90825996 5.89174209 6.24487983]
 [7.45402907 8.84418323 9.70377591 ... 7.2907776  7.60216595 7.95638094]
 ...
 [1.98790927 5.39394487 4.66536885 ... 6.07484518 7.10357542 7.36786676]
 [2.36304976 5.32948991 4.67749856 ... 6.02404257 7.08350091 7.47109193]
 [2.04377476 4.95334625 4.47906092 ... 5.6101976  6.5893042  7.28788626]]",1,-3.0556813271607393,12.07667085046402
8,22050,"[[  7.80127626 -15.84790455  -7.59433281 ... -15.17609509   3.04906129
    1.21051595]
 [  9.3991473  -16.71161671 -15.73257213 ... -21.33250219   1.80132207
   -1.1701204 ]
 [ 10.59138675 -16.72094805 -11.97343347 ... -15.54597146  16.33731464
    6.59207011]
 ...
 [  9.03727759 -15.32896823  -3.45378509 ...  -4.58666583  -5.73667813
   -1.62491249]
 [  9.10237562 -14.71113887  -5.26519193 ...  -6.81604397  -8.51303368
   -2.92768754]
 [  8.73308053 -15.70966321  -2.77915412 ...  -0.76219757  -9.25850323
    0.94227311]]","[[ 0.68923431  2.6559947   2.30222623 ...  5.07164714  4.54534681
   4.48881549]
 [-0.13812771  3.39253745  3.51182322 ...  5.60257401  5.12231015
   5.01504233]
 [ 3.9267167   4.18093366  4.1617216  ...  6.33225244  5.85497997
   5.99171816]
 ...
 [ 2.1669898   3.81760291  3.70526957 ...  5.9326557   6.56602278
   6.85798439]
 [ 1.54574144  3.94032872  3.8823024  ...  5.87650746  6.59513561
   6.83317927]
 [ 2.04758648  3.35356355  3.31312612 ...  5.26844846  6.14450153
   6.35610392]]",1,-3.1733689715059383,11.844210784322486
9,22050,"[[  8.0091939  -10.43333435  -1.80694212 ...  -9.43313202  -2.83674432
   -2.17360277]
 [  9.97308031  -4.90648241  -7.94588201 ... -16.92420061  -7.74557376
    0.6628105 ]
 [ 11.37972151  -2.93669483  -5.06888873 ...  -9.59207842  -0.36557825
    7.28225387]
 ...
 [  9.64964922 -24.26348071  -3.30794777 ...  -5.4407014   -6.89310184
    0.90404467]
 [  9.65927607 -23.30481463  -5.37517115 ...  -3.36069535  -9.30794157
    2.18002983]
 [  9.49640054 -24.6357274   -2.65952328 ...   0.26142295 -11.24180033
    5.76036728]]","[[2.55289965 4.41783975 3.60157279 ... 5.14832788 5.20452502 5.24998906]
 [3.73107784 6.22979934 6.57646691 ... 5.94897493 5.92347329 6.0936612 ]
 [7.68227102 7.74307207 7.85972255 ... 6.77671584 7.04045809 7.62389886]
 ...
 [1.22299064 2.67579894 2.78072105 ... 6.57884322 7.24124281 7.84127248]
 [0.96074007 2.8503242  2.80545869 ... 6.31576467 7.14184934 7.58727815]
 [1.6326267  2.2434833  2.36906065 ... 5.91465019 6.86065116 7.54182103]]",1,-2.7171269681387638,11.811428923515992
