,rates,mfcc,filter_bank,fraud,mfcc_mean,fbank_mean
0,44100,"[[  8.6271565   12.58040419  -9.86709438 ...  -4.66956977 -15.19138277
   22.29057755]
 [  8.55876434  13.03542137  -8.98133049 ...  -1.52273364 -12.94554789
   23.00071298]
 [  8.54005046  12.12481093 -10.25900293 ...   0.26841556 -15.22670262
   19.15623424]
 ...
 [ 14.94257323  42.46574758  12.73014496 ... -15.54110068 -22.66452098
   31.55148983]
 [ 14.58561139  39.25411739  11.03128785 ... -16.72778933 -19.88471488
   25.74804368]
 [ 14.42170134  33.32170519  10.46868017 ... -14.57043198 -16.85108165
   15.70171739]]","[[ 5.44367557  4.2340463   3.2951207  ...  1.84601004  2.37145643
   4.62578484]
 [ 5.70725473  4.89002876  2.94696313 ...  1.85693381  2.47891916
   4.5608218 ]
 [ 5.54059599  4.14708592  2.97087553 ...  1.88105204  2.34268763
   4.48881125]
 ...
 [ 9.84219619 11.40415278 11.51805606 ...  2.70498097  5.18987052
   7.85963499]
 [ 9.59796039 11.70952478 11.79535771 ...  3.39811533  5.51484545
   7.75673755]
 [ 9.18026217 11.60840476 11.77011909 ...  4.60816489  5.55216768
   7.44677861]]",1,0.4985827015909645,7.661677809185441
1,44100,"[[ 7.6491231   5.30172548 -8.91275102 ...  2.03708339 -0.31364073
  12.76863065]
 [ 7.43351788  9.0629832  -8.38775452 ...  4.73966994 -4.90886946
  18.6969537 ]
 [ 7.36343914  7.8549073  -8.52889976 ...  3.56670125 -8.31729165
  18.1727623 ]
 ...
 [ 5.66346039  3.62196894 -0.08550334 ...  5.09713098 10.51755254
   8.8986658 ]
 [ 5.64316127  3.92175391  0.91161006 ...  5.82586759  8.98007252
   8.55608659]
 [ 5.32361     2.08706777 -1.17583082 ...  3.48968692  5.83668983
   5.33090912]]","[[5.45654736 3.64364535 2.8645147  ... 2.97882149 2.43235509 3.49905978]
 [5.34811758 3.21976548 2.4117133  ... 1.8402536  1.48220155 3.38222448]
 [5.17581305 2.58345452 2.93378805 ... 1.77115659 1.43763069 3.41071539]
 ...
 [3.63732277 2.48096447 1.28773077 ... 1.82885966 0.95392861 0.42047394]
 [3.54794626 2.40318391 1.42340344 ... 1.8411426  0.96964536 0.34592548]
 [2.0780945  1.53717821 0.68420952 ... 1.6691376  0.72677761 0.13804682]]",1,1.2775722084021777,6.125535572525392
2,44100,"[[ 15.5348005    9.56315541  -2.41374099 ... -28.08011661 -27.06038859
    7.84110303]
 [ 15.45270905  24.17753181  -4.80437578 ... -31.17795698 -34.42748025
   14.02001413]
 [ 15.46115434  28.46372114  -7.03522234 ... -32.7065216  -25.40051849
    5.62729296]
 ...
 [ 12.96268048   3.03943284 -36.5055304  ... -26.4184502    1.32803532
    8.48024377]
 [ 13.04561079   0.34641408 -37.21976043 ... -22.54679461  -1.49469445
   10.95949206]
 [ 12.83502538   1.46168713 -37.67859873 ... -29.97905166   0.85123182
    6.50873753]]","[[11.86207568 13.73471353 13.67901107 ... 10.15940526 10.18511345
  11.17087375]
 [11.8448744  13.84736608 13.8777621  ...  7.66842762  9.33771406
  11.05772959]
 [11.66110959 14.08465391 13.88335423 ...  7.6233855   9.01710716
  10.55077012]
 ...
 [ 5.66396041  5.10549218  4.97257127 ...  7.32939087  8.36845438
   9.28291867]
 [ 5.40283656  4.53823239  5.16985822 ...  7.47125826  8.52324368
   9.33974826]
 [ 4.85779863  5.01897412  5.03618087 ...  7.40221277  8.47482738
   9.14513817]]",1,-0.9166643513011675,9.662158578026501
3,44100,"[[ 15.6500323   14.04105188   8.22589582 ... -21.51598685 -26.79556528
  -24.36040126]
 [ 16.23548643  30.83984434  11.98124061 ... -13.54407757 -29.93508448
  -12.70991787]
 [ 15.7810034   38.49646349  11.61570901 ... -17.69227308 -47.57063406
  -13.96405195]
 ...
 [  7.70154828  10.82077321  -3.66015819 ...   1.86051869 -10.70618176
   18.02177386]
 [  7.72595269  12.15537556  -2.8342832  ...   6.32990386  -8.18392649
   18.17183745]
 [  7.25921738  12.04761094  -2.21851882 ...   1.08827298 -16.37000859
   14.43079854]]","[[11.12086051 15.00192129 14.37672466 ...  9.49805161  9.00052877
   8.80429552]
 [13.42935076 15.42109085 15.02558879 ...  7.16939366  7.24335859
   9.06451748]
 [11.61223512 15.17970763 14.2754912  ...  4.64000809  5.11651742
   8.67730284]
 ...
 [ 6.4920293   3.89856252  3.21351879 ...  1.80669851  1.39229281
   3.43345121]
 [ 6.68055975  4.11444419  3.73734753 ...  1.85328407  1.2744155
   3.17175305]
 [ 5.64205564  4.29809834  3.63854802 ...  1.40501646  1.01091324
   2.83805965]]",1,1.9773016428079502,7.216908282754593
4,44100,"[[ 18.64950224   8.84588903  -9.82697957 ... -16.74825631   2.92358996
   -5.67128474]
 [ 18.12596125  25.5105871  -15.54668169 ... -17.88535689  -2.41515496
   -0.42988226]
 [ 17.82813474  22.40053704 -14.39287118 ... -12.17398043  -0.79472588
   -5.14060273]
 ...
 [ 13.6694448   -0.74555519 -29.59092951 ... -10.9457239    7.75437431
  -10.57421319]
 [ 13.39916341   2.83978625 -28.45870806 ... -31.43645587   8.66309847
  -19.27145732]
 [ 13.06139468   0.17091527 -28.95188822 ... -30.34770324   2.01167762
  -20.33924493]]","[[12.60144054 15.17438424 15.27067192 ... 12.37013223 14.28300302
  14.55390397]
 [13.06149078 15.04264188 15.23480505 ... 10.19908467 13.45492343
  13.86070219]
 [13.06405275 15.25603346 15.51627291 ... 10.24754822 13.59247026
  13.80121814]
 ...
 [ 7.2411326   8.65758589  7.56730413 ...  9.41778605 10.67624373
   9.70063252]
 [ 6.55913423  8.3841222   8.68038709 ...  9.31440671 10.51031585
   9.36042792]
 [ 4.50713009  8.23595557  8.56867653 ...  8.97294594  9.99259803
   9.03689277]]",1,-1.5539571874398324,10.080676359504498
5,44100,"[[ 18.0985424   13.89996529   3.78708964 ... -32.11811833 -45.84428869
  -15.52295723]
 [ 18.56080805  31.83061575   4.98545073 ... -23.03697259 -46.87135022
   -6.46812946]
 [ 18.71389469  25.40459673   0.84798883 ... -20.59017762 -39.11524112
   -8.29848085]
 ...
 [  8.26108267  12.09839676 -10.07215987 ... -11.9999563  -21.82424147
   -1.09956769]
 [  8.16427354  11.91295616  -8.193164   ...  -8.91209609 -22.91735503
    5.18883464]
 [  7.77671902  11.52344598  -8.1310447  ...  -4.21613716 -21.84642917
    8.45652939]]","[[10.48318675 14.92205456 15.18492101 ... 11.38801696 11.08780291
  12.46931581]
 [11.87743832 15.84489843 14.94709133 ...  7.98627501  9.02514709
  12.73327247]
 [11.4218026  15.17853457 14.89613878 ...  9.57279394  9.8860798
  12.91334224]
 ...
 [ 4.59799218  4.58347864  5.30758598 ...  1.98943421  2.37409296
   4.43407006]
 [ 4.71997467  4.39537943  4.30237237 ...  1.90532897  2.10123321
   4.26285459]
 [ 4.45371817  4.16418762  3.49373897 ...  1.6209118   1.96638831
   3.78107149]]",1,-0.3826100950129498,8.222411088810327
6,44100,"[[ 15.54222314  19.68398124  12.72899705 ... -16.48310229 -10.66456759
   -1.67328354]
 [ 16.36029845  35.40297599  18.30276488 ... -15.47560024 -21.53708693
    4.12272162]
 [ 16.61910387  24.03456909   8.49348531 ... -16.33108212 -16.07289674
   -6.04056182]
 ...
 [  7.47441745   9.62346151  -7.81118388 ...  -5.88059946 -14.17541862
   10.85381122]
 [  7.61943294   9.85914609  -7.61937805 ...  -4.90152328 -17.21050969
    8.39415153]
 [  7.4147871   10.44445602  -8.1242709  ...  -5.55278888 -16.35551068
    5.84916608]]","[[11.65388739 13.98563339 14.15594523 ...  9.03318495  8.56530509
   8.47619393]
 [12.57719758 14.48037957 15.15651974 ...  6.36933126  6.35273393
   8.42915717]
 [11.42037065 14.25064312 15.241262   ...  8.96508101  8.94285721
   9.62872254]
 ...
 [ 3.32021714  3.78454293  3.77955318 ...  1.92982804  1.7647294
   3.49062067]
 [ 3.40545465  4.00089286  4.10870911 ...  1.87227081  1.91955961
   3.79295325]
 [ 3.65747186  3.81564839  3.93427615 ...  1.58752082  1.87544978
   3.60296801]]",1,0.8262066547841598,7.113722002772589
7,44100,"[[ 13.59968594   7.18021661 -25.20312908 ... -12.65518498  -3.22498131
    5.92542425]
 [ 13.46024464   0.91572897 -26.22552666 ... -14.2904987   -9.1652957
   -5.88810916]
 [ 13.26709995   3.11023125 -25.11269337 ... -14.17267336 -14.28294345
  -10.03730771]
 ...
 [ 15.45036066   5.34500018 -39.20889927 ... -12.14655771 -24.18222333
  -11.70249758]
 [ 15.50782925   3.95238775 -35.6059836  ...  -2.33222914 -11.49393224
   -1.90704502]
 [ 15.34861476  11.88286562 -33.09578849 ...  -2.88142261  -6.61272141
    4.83321933]]","[[ 8.67287369  8.84119465  8.42558084 ...  8.8616748  10.46975828
   9.87196449]
 [ 8.04488177  8.62622732  8.40842625 ...  8.78491671 10.49470304
   9.68233731]
 [ 6.79578378  9.44929864  8.91063037 ...  8.15744106 10.03032095
   9.61818814]
 ...
 [ 4.26755202  7.9596401   8.61631844 ...  9.14272425 10.67958115
  11.46750251]
 [ 6.39773199  7.89538193  8.07783025 ...  9.02453959 10.65971004
  11.46612886]
 [ 6.98351659  8.24344106  8.23542022 ...  8.88440776 10.61914693
  11.21517716]]",1,-1.4671190578616033,10.617506906397951
8,16000,"[[ 20.39799735 -11.22535233   5.28749148 ...   7.87392005   6.70911564
  -20.21121627]
 [ 20.41970907 -13.60723313   3.62056213 ...  12.62020736   7.17919324
  -30.14121626]
 [ 20.43702257 -13.39327057   6.27537682 ...  13.17092417  10.35286779
  -26.36014369]
 ...
 [ 18.59516107  -4.95087572  20.70682254 ...   8.84832592   3.4987506
   -3.03835682]
 [ 18.50212005  -5.50305149  19.5345941  ...   4.39114659  -1.35767207
   -4.78842959]
 [ 18.20023461  -5.83921805  20.39172756 ...  -6.63020346  -2.57970468
    0.84624453]]","[[16.26388192 14.70111161 14.4698844  ... 18.26940618 17.9900518
  16.25729643]
 [16.15954153 13.88510465 13.08916449 ... 18.26296097 18.20114814
  15.66276547]
 [16.15343765 14.02070086 13.43141836 ... 18.14003106 18.14855368
  16.25334753]
 ...
 [16.18025027 14.04419585 15.14747894 ... 15.7091626  15.82226648
  15.03715077]
 [16.15439217 13.98772926 14.97724742 ... 15.55501315 15.45974092
  14.94460076]
 [16.0720448  13.86015268 14.54126338 ... 15.06953664 14.95164098
  14.3431977 ]]",1,6.32622635851547,14.30310237751452
9,16000,"[[ 22.75373365 -22.875704    17.02555464 ...   4.1566899   -2.43093456
   12.91649873]
 [ 22.87575123 -30.56700385  26.66261324 ...   0.33434785  -3.35285868
   21.33668488]
 [ 22.30720371 -30.2826922   30.62254478 ...  -1.43250135   0.68657568
   16.42975406]
 ...
 [ 18.13552742  -3.0640157   22.1800103  ...   3.75633797   1.83523116
    9.21972117]
 [ 18.12932916  -3.08757874  20.61567779 ...   6.45271414  -0.36407979
    9.26068884]
 [ 17.8543677   -1.76130188  21.98820865 ...  -0.47105619   3.4571767
   10.62578425]]","[[16.26859962 14.71826039 14.43935492 ... 20.56121731 19.66425424
  18.7043385 ]
 [16.1360572  13.87245876 13.14980041 ... 20.49558628 19.67390273
  18.75137783]
 [16.14079101 13.84154163 12.90857486 ... 20.09720988 19.23766163
  18.22534021]
 ...
 [16.16015717 13.86266605 12.90066788 ... 13.83943425 13.72704722
  13.68625303]
 [16.15395405 13.83448074 12.89450037 ... 13.38156108 13.55969822
  13.67649119]
 [16.09318552 14.00293716 12.93059614 ... 13.21733449 13.46770223
  13.36430819]]",1,6.52871879568361,14.571164008042208
